id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
355327,ES-0309,heliport,"Cadalso de los Vidrios Heliport",40.30569,-4.44328,2690,EU,Spain,ES,"Madrid (community)",ES-MD,MD,"28640 Cadalso de los Vidrios",0,,,,,,,0,2022-06-28T15:32:48+00:00
355325,ES-0308,heliport,"Tejeda Heliport",27.99362,-15.60982,3887,AF,Spain,ES,"Canary Islands",ES-CN,CN,"35369 Tejeda",0,,,,,,,0,2022-11-01T17:29:15+00:00
355324,LEBD,heliport,"El Bodon Heliport",40.48453,-6.57709,2647,EU,Spain,ES,"Castilla y León",ES-CL,CL,"37520 El Bodón",0,LEBD,,,,,,0,2022-12-29T04:33:52+00:00
355323,ES-0307,heliport,"Los Llanos Helipad",28.65657,-17.9159,1233,AF,Spain,ES,"Canary Islands",ES-CN,CN,"38768 Los Llanos",0,,,,,,,0,2022-11-01T17:29:40+00:00
300646,AEI,heliport,"Algeciras Heliport",36.12882,-5.441079,98,EU,Spain,ES,Andalucía,ES-AN,AN,Algeciras,1,LEAG,,,https://www.aena.es/en/algeciras.html,https://en.wikipedia.org/wiki/Algeciras_Heliport,,0,2023-08-12T04:31:42+00:00
334993,ES-0274,heliport,"Alborán Helistrip",35.93932,-3.03519,,EU,Spain,ES,Andalucía,ES-AN,AN,Almería,0,,,,,,,0,2021-01-27T13:31:18+00:00
43301,LETA,heliport,"Servei Generals Del Circuit De Catalunya Heliport",41.57400131225586,2.257159948348999,470,EU,Spain,ES,Catalonia,ES-CT,CT,Barcelona,0,LETA,,,,,,0,2009-08-07T08:34:24+00:00
355322,LEZO,heliport,"Lozoyuela Heliport",40.93602,-3.62504,3517,EU,Spain,ES,"Madrid (community)",ES-MD,MD,"C. del Altillo",0,LEZO,,,,,,0,2022-06-28T15:18:05+00:00
355319,ES-0304,heliport,"Pulpí Helipad",37.401077,-1.746113,616,EU,Spain,ES,Andalucía,ES-AN,AN,Pulpí,0,,,,,,,0,2022-06-28T15:03:28+00:00
355318,ES-0303,heliport,"Parc Taulí Heliport",41.55803,2.10875,649,EU,Spain,ES,Catalonia,ES-CT,CT,Sabadell,0,LERC,,,,,,0,2024-10-02T20:16:34+00:00
355320,ES-0305,heliport,"Vilaller Heliport",42.47221,0.71262,3172,EU,Spain,ES,Catalonia,ES-CT,CT,Vilaller,0,,,,,,,0,2022-06-28T15:09:39+00:00
429752,ES-0316,heliport,"Xàbia Heliport",38.77313,0.17734,,EU,Spain,ES,"Valencia (community)",ES-VC,VC,Xàbia,0,,,,https://www.heliportxabia.com,,,0,2022-11-12T11:57:53+00:00
4009,LEGA,medium_airport,"Armilla Air Base",37.133202,-3.63569,2297,EU,Spain,ES,Andalucía,ES-AN,AN,Armilla,0,LEGA,,,,https://es.wikipedia.org/wiki/Base_A%C3%A9rea_de_Armilla,,250,2024-05-17T04:03:33+00:00
